sõna,sihtsünohulk,suhtesoovitused,sihtsünohulga definitsioon,suhtega seotud soovitused
KÄIMA,tembutama.v.01,"{""Synset('veiderdama.v.01')""}","tempe tegema, janditama, vigurdama; midagi mitte tõemeeli ütlema v. tegema (EKSS)",set()
KÄIMA,halba tegema.v.01,"{""Synset('teesklema.v.01')""}","sigadusi, seatempe tegema; kellelegi siga mängima.",set()
KÄIMA,sigatsema.v.01,"{""Synset('teesklema.v.01')""}","sigadusi, seatempe tegema; kellelegi siga mängima.",set()
KÄIMA,härratsema.v.01,"{""Synset('teesklema.v.01')"", ""Synset('võimutsema.v.01')""}","saksa, härrat mängima, peremehetsema.",set()
KÄIMA,uljutsema.v.01,"{""Synset('teesklema.v.01')""}","bravuurselt esinema; oma julguse, võimetega vms. hooplema. kuraasikalt, uhkeldavalt hooplema. bravuuritsema.",set()
KÄIMA,möllama.v.02,"{""Synset('vallatlema.v.01')""}","liikumisrohkelt, lärmakalt vallatlema","{""Synset('vallatlema.v.01')""}"
KÄIMA,kebima.v.01,"{""Synset('jooksma.v.05')""}","kiiresti ja kergesti käima, jooksma v. ronima",set()
KÄIMA,traavima.v.02,"{""Synset('jooksma.v.05')""}",(inimese kohta:) jooksma v. (kiiresti) käima (EKSS),set()
KÄIMA,loksuma.v.04,"{""Synset('käima.v.10')""}","(aeglaselt ja) loginal, kolinal sõitma; (kulununa v. mitte päris korras olevana) töötama",set()
KÄITUMINE,alalhoidlikkus.n.01,"{""Synset('ettevaatus.n.01')""}",vaenulikkus uuenduste suhtes,set()
KÄITUMINE,mitteformaalsus.n.01,"{""Synset('formaalsus.n.01')""}",,"{""Synset('formaalsus.n.01')""}"
KÄITUMINE,mittemõistmine.n.01,"{""Synset('mõistmine.n.01')""}",,"{""Synset('mõistmine.n.01')""}"
KÄITUMINE,ebalojaalsus.n.02,"{""Synset('truuksjäämine.n.01')""}",,set()
KÄITUMINE,inimväärikus.n.01,"{""Synset('soliidsus.n.01')""}",,"{""Synset('soliidsus.n.01')""}"
KÄITUMINE,ebasoliidsus.n.01,"{""Synset('soliidsus.n.01')""}",,"{""Synset('soliidsus.n.01')""}"
KÄITUMINE,barbaarsus.n.01,"{""Synset('tsiviliseeritus.n.01')""}",ebakultuurne käitumine,set()
KÄITUMINE,sekkumine.n.01,"{""Synset('häirimine.n.01')""}",,set()
KÄITUMINE,ebaviisakus.n.01,"{""Synset('viisakus.n.01')""}",,"{""Synset('viisakus.n.01')""}"
KÄITUMINE,mittesekkumine.n.01,"{""Synset('häirimine.n.01')"", ""Synset('sekkumine.n.01')""}",,"{""Synset('sekkumine.n.01')""}"
KÄSIRAAMAT,unenägude seletaja.n.01,"{""Synset('seletaja.n.05')""}",unenägusid seletav raamat,set()
KÄSITLUS,tonaalsus.n.01,"{""Synset('värvikäsitlus.n.01')""}","maalikunstis ühele põhitoonile ülesehitatud värvikäsitlus, mida kujutatava edasiandmiseks varieeritakse hele-tumeda astmetega",set()
KÄSITÖÖ,palmik.n.01,"{""Synset('punutis.n.01')""}","vähemalt kolmest juukse-, lõnga- vms. kimbust tehtud punutis (EKSS)",set()
KÖIDE,jansenistide köide.n.01,"{""Synset('raamatuköide.n.01')""}","17. saj lõpus Prantsusmaal valmistatud raamatuköited, mille väliskülg on ornamenteerimata, kaane sisekülg võis olla kaunistatud",set()
KÖIDE,auraamat.n.01,"{""Synset('album.n.02')""}","eriline raamat, album, kuhu kantakse kollektiivi töösaavutused, kollektiivi parimate liikmete nimed ning fotod jne (EKSS)",set()
KÖIDE,ribaraamat.n.01,"{""Synset('album.n.02')""}",album markide vm ajutiseks säilitamiseks (EKSS),set()
KÖIDE,calendarium.n.01,"{""Synset('võlaraamat.n.01')""}","algselt kuu esimese päeva, kalendi, järgi nimetatud vanarooma rahavahetaja intressi- ja võlaraamat",set()
KÖÖGIVILI,sibul.n.01,"{""Synset('lauk.n.02')""}","laukude hulka kuuluv köögiviljataim, peamiselt harilik ehk söögisibul; selle söödav(ad) osa(d)","{""Synset('lauk.n.02')""}"
KÖÖGIVILI,lillkapsas.n.01,"{""Synset('kapsas.n.02')""}",,set()
KÖÖGIVILI,suvikõrvits.n.01,"{""Synset('kõrvits.n.01')""}",suvel v. varasügisel kasutatavate kõrvitsate üldnimetus,set()
KÖÖGIVILI,porrulauk.n.01,"{""Synset('lauk.n.02')"", ""Synset('sibul.n.01')""}",,"{""Synset('lauk.n.02')""}"
KÖÖGIVILI,rooskapsas.n.01,"{""Synset('kapsas.n.02')""}",vastava kultuurtaime väikesed hea lõhna ja maitsega pead,set()
KÖÖGIVILI,lauk.n.02,"{""Synset('sibul.n.01')""}",iseloomulikult lõhnava jämeda risoomi v. sibulaga ning ruljate rootsuta lehtedega taime söödav osa,"{""Synset('sibul.n.01')""}"
KÖÖGIVILI,peakapsas.n.01,"{""Synset('kapsas.n.02')""}",,set()
KÖÖGIVILI,rullkõrvits.n.02,"{""Synset('kõrvits.n.02')""}",kõrvitsa pikerguste viljadega teisend (EKSS),set()
KÜBE,footon.n.01,"{""Synset('kvant.n.01')""}",valguse kiirusega liikuv elektromagnetkiirguse osake,set()
KÜBE,antiosake.n.01,"{""Synset('elementaarosake.n.01')""}","teat. elementaarosakesega mõnede omaduste (laengu, magnetmomendi) poolest võrdvastupidine osake, näit. antiprooton prootoni suhtes (EKSS)",set()
KÜLG,avers.n.01,"{""Synset('esikülg.n.01')""}","mündi, medali (pildiga) esikülg",set()
KÜLG,revers.n.01,"{""Synset('tagakülg.n.01')""}",mündi vapikülg v. medali tagakülg (EKSS),set()
KÜPSETAMA,röstima.v.01,"{""Synset('grillima.v.01')""}","toiduainet v. toitu kuivalt kuumutama ja (kergelt) pruunistama, grillima (EKSS)",set()
KÜSIMA,palvetama.v.01,"{""Synset('pöörduma.v.05')""}","palves jumala v. jumaluse poole pöörduma, palvet lugema",set()
KÜSIMUS,kitsaskoht.n.01,"{""Synset('keerukus.n.01')""}","takistav, raskusi tekitav asjaolu; millegi nõrk külg (EKSS)",set()
KÜTE,reaktiivkütus.n.01,"{""Synset('fossiilkütus.n.01')""}",reaktiivmootorites kasutatav fossiilkütus,set()
KÜTMA,pookima.v.04,"{""Synset('andma.v.08')""}",naha peale andma,set()
KÜTMA,piitsutama.v.01,"{""Synset('andma.v.08')""}","piitsaga peksma, piitsa andma",set()
KÜTMA,kähvama.v.02,"{""Synset('andma.v.08')""}","järsku lööma, äigama vms.",set()
KÜTMA,maha laskma.v.01,"{""Synset('põrutama.v.04')""}",käsitulirelvast lastes tapma. maha laskma.,set()
LAEN,arvelduslaen.n.01,"{""Synset('krediit.n.01')""}","lühiajaline laen, mida pank annab kliendile arvelduste õiendamiseks, kui sel endal puudub arvelduskontol raha, laenu antakse jooksvate arvelduste puhul tekkida võiva miinussaldo katmiseks vajalikus ulatuses, ent tavaliselt mitte üle varem kokkulepitud summa",set()
LAEN,kontokorrentlaen.n.01,"{""Synset('krediit.n.01')""}","jooksvate arvelduste tegemiseks antav lühiajaline laen, mille tagatiseks on laenusaaja kontokorrentkonto saldo pangas",set()
LAEN,usalduslaen.n.01,"{""Synset('krediit.n.01')""}","laen, mis antakse ainult usaldusest laenusaaja isiku vastu, ilma mingi muu tagatisega",set()
LAEN,tarbimislaen.n.01,"{""Synset('krediit.n.01')""}",tarbmiseks võetud laen,set()
LAEN,aktseptlaen.n.01,"{""Synset('krediit.n.01')""}","laen, mida äripank annab aktsepti vormis käskveksli tagatisel eriti väliskaubandustehingute puhul",set()
LAEN,põllumajanduslaen.n.01,"{""Synset('krediit.n.01')""}",,set()
LAGI,ripplagi.n.01,"{""Synset('vahelagi.n.01')""}","ruumi kohal paiknevate juhtmete, torustike jms varjamiseks, ruumi kõrguse vähendamiseks vm kaalutlustel ehitatud lagi, mis kinnitatakse vahelae konstruktsiooni külge",set()
LAGI,kuppellagi.n.01,"{""Synset('võlv.n.01')""}","kuppelvõlviga lagi (EKSS), kuppelvõlvi palend",set()
LAGUNEMA,läbi põlema.v.01,"{""Synset('katkema.v.02')""}","põledes v. sulades katkema, selle tagajärjel töötamast lakkama (EKSS)",set()
LAHKUMA,ära jooksma.v.01,"{""Synset('kaduma.v.08')""}","pagema, omavoliliselt lahkuma, kedagi v. midagi maha jätma; ära voolama. põgenema, ära jooksma, lahkuma, kaduma.",set()
LAHT,haff.n.01,"{""Synset('lõugas.n.03')""}",geogr kitsa suudmega järvlaht liivase maasääre ja maismaa vahel (EKSS),set()
LAHT,fjord.n.01,"{""Synset('merelaht.n.01')""}",pikk kitsas järskude kallastega sügav merelaht,set()
LAMMAS,oinas.n.02,"{""Synset('oinas.n.01')""}","isane lammas, (kitsamalt:) kohitsetud jäär (EKSS)",set()
LAMP,taskulamp.n.01,"{""Synset('elektrilamp.n.01')""}",patareid vooluallikana kasutav väike kaasaskantav elektrilamp (EKSS),set()
LAMP,tänavalamp.n.01,"{""Synset('latern.n.01')""}",,set()
LASKEMOON,padrun.n.01,"{""Synset('kuul.n.03')"", ""Synset('mürsk.n.01')""}","käsitulirelva v. väiksema kaliibriga suurtüki laeng koos kesta, kuuli (mürsu) ja sütikuga (EKSS)",set()
LASKEMOON,kuul.n.03,"{""Synset('padrun.n.01')"", ""Synset('mürsk.n.01')""}",käsitulirelva v. kuulipilduja padruni eesmine väljatulistatav osa (vahel kasut. ka mürsu kohta),set()
LATT,peel.n.01,"{""Synset('puu.n.02')""}","peelestiku e seisevtaglase kandva osa puust v metallist osa, mis kannab purjesid, laevatulesid, raadioantenne jms",set()
LATT,ora.n.01,"{""Synset('puu.n.02')""}","naasklist jämedam, hrl. ühest otsast teravnev (puust, metallist jne.) kepi-, pulga-, varda- v. orataoline sageli terava otsaga ese.",set()
LAUD,registreerimislett.n.01,"{""Synset('lett.n.01')""}","laud, mille taga klienditeenindaja registreerib kliendi nt hotelli, lennu peale jne",set()
LAUD,varvaslaud.n.01,"{""Synset('astmelaud.n.01')""}",kahe astmelaua vahelist tühimikku täitev laud kinnistel treppidel,set()
LAUD,hööveldatud laud.n.01,"{""Synset('saelaud.n.01')""}","saelaud, mis on siledaks hööveldatud",set()
LAUL,ariooso.n.01,"{""Synset('aaria.n.01')""}","lüüriline lühiaaria, soololaul v instrumentaalpala",set()
LAUSE,liitlause.n.02,"{""Synset('lihtlause.n.02')""}","lause, mis sisaldab ühe või mitu lauset, mis on eraldatud nii, et moodustavad lihtlause süntaktilise vaste",set()
LAUSUMA,poetama.v.02,"{""Synset('mainima.v.01')""}","põgusalt, möödaminnes, tagasihoidlikult midagi lausuma, vahele ütlema, märkima. (EKSS)",set()
LAVASTUS,uudislavastus.n.01,"{""Synset('esilavastus.n.01')""}",lavateose esmalavastus mingis teatris (EKSS),set()
LEHEKÜLG,pilgupüüdja.n.01,"{""Synset('koduleht.n.01')""}","kodulehele eelnev, tavaliselt klõpsu nõudev vaheleht veebisaidis ",set()
LEHT,poogen.n.01,"{""Synset('lehekülg.n.01')""}",trükitud ja lehekülgedeks kokkumurtud paberileht,set()
LEIB,vatsk.n.01,"{""Synset('must leib.n.01')""}",õhuke odra- või rukkileib (EKSS),set()
LEKSIKON,kirjanikusõnaraamat.n.01,"{""Synset('seletussõnaraamat.n.01')""}",keel ühe kirjaniku sõnakasutuse kohta koostatud seletussõnaraamat (EKSS),set()
LEPING,koostööleping.n.01,"{""Synset('tööleping.n.01')""}","leping, mis sätestab koostöö tingimused",set()
LEPING,poliis.n.01,"{""Synset('kindlustusleping.n.01')""}",dokument kindlustuslepingu sõlmimise kohta,set()
LEPING,arvemüügileping.n.01,"{""Synset('müügileping.n.01')""}","leping, millega oma toodangut või teenuseid realiseeriv majandusüksus kohustub ostjatele esitatavad arved müüma teisele lepinguosalisele - faktooringufirmale, kes nende alusel raha sisse nõuab",set()
LEST,monolest.n.01,"{""Synset('kummilest.n.01')""}",monolest on valmistatud kihilisest tekstoliitplaadist ja kummilestadest,set()
LETT,kõrtsilett.n.01,"{""Synset('müügilaud.n.01')""}",kõrtsi müügilaud (EKSS),set()
LEVITAMA,heitma.v.01,"{""Synset('kiirgama.v.03')""}","endast välja saatma v. kiirgama; levitama (hrl. valgust, helki, varju jm.)",set()
LEVITAMINE,hajutamine.n.01,"{""Synset('külvamine.n.03')""}",,set()
LEVITAMINE,antireklaam.n.01,"{""Synset('propaganda.n.01')""}","reklaam, mis on mõeldud toimima millegi vastu",set()
LIHA,pähkeltükk.n.01,"{""Synset('lihakeha.n.01')""}",veise rümba tagaosa tükk,set()
LIHA,karbonaad.n.01,"{""Synset('lambaliha.n.01')""}","sea, veise, vasika või lambaliha seljatükk",set()
LIHA,koot.n.01,"{""Synset('lihakeha.n.01')""}",looma sääre- v. küünarvarre piirkond (ka lihakeha vastav osa) (EKSS),set()
LIHAS,kaelaogalihas.n.01,"{""Synset('ogalihas.n.01')""}",,set()
LIHAS,silmasõõrlihas.n.01,"{""Synset('sõõrlihas.n.01')""}","innerveerib näonärv, sulgeb lauge, soodustab pisarate äravoolu pisaranäärmest ninaõõnde",set()
LIHAS,oimulihas.n.01,"{""Synset('mälumislihas.n.01')""}","innerveerivad süvad oimunärvid, sulgeb suud, kõige tugevam mälumislihas",set()
LIHAS,suusõõrlihas.n.01,"{""Synset('sõõrlihas.n.01')""}","innerveerib näonärv, sulgeb suud, pöörab huuled väljapoole",set()
LIHAS,poologalihas.n.01,"{""Synset('ogalihas.n.01')""}","jaguneb pea-, kaela-, rinnaosaks",set()
LIHAS,pärakutõstur.n.01,"{""Synset('tõsturlihas.n.01')""}","innerveerib häbemenärv, moodustab olulise osa vaagnapõhjast",set()
LIHAS,põlveliigeselihas.n.01,"{""Synset('liigeselihas.n.01')""}","innerveerib reienärv, kinnitub põlveliigesekihnule ja liigutab seda",set()
LIHAS,silmaavasulgur.n.01,"{""Synset('sulgur.n.01')""}",silmaava tsirkulaarselt ümbritsev silelihaskiht,set()
LIHAS,kaksik-sääremarjalihas.n.01,"{""Synset('sääremarja-kolmpealihas.n.01')""}",on sääremarja-kolmpealihase osa,"{""Synset('sääremarja-kolmpealihas.n.01')""}"
LIHAS,küünarliigeselihas.n.01,"{""Synset('liigeselihas.n.01')""}","innerveerib küünarluunärv, kinnitub küünarliigesekihnule ja liigutab seda",set()
LIHAS,biitseps.n.01,"{""Synset('õlavarre-kakspealihas.n.01')""}",õlavarre-kakspealihas,set()
LIHAS,kõhuristlihas.n.01,"{""Synset('ristlihas.n.01')""}","innerveerivad roietevahenärvid, osaleb kõhu eesseina moodustamises",set()
LIHAS,suunurgatõstur.n.01,"{""Synset('tõsturlihas.n.01')""}",miimilist lihast innerveerib näonärv,set()
LIIGA,esiliiga.n.01,"{""Synset('kõrgliiga.n.01')""}",sportmängude meistrivõistluste süsteemis parimate või kõrgliigale paremuselt järgnevate võistkondade liiga (EKSS),"{""Synset('kõrgliiga.n.01')""}"
LIIGE,rebane.n.02,"{""Synset('uustulnuk.n.01')""}",üliõpilaskorporatsiooni noorliige v. esimese kursuse üliõpilane,set()
LIIGUTAMA,kandma.v.01,"{""Synset('viima.v.01')"", ""Synset('tooma.v.01')""}","üles tõstetuna edasi toimetama, ühest paigast teise viima v. tooma",set()
LIIGUTAMA,sasima.v.01,"{""Synset('ajama.v.01')"", ""Synset('viima.v.01')""}",korratusse olekusse viima,set()
LIIGUTAMA,viima.v.01,"{""Synset('panema.v.01')""}","midagi mingisse sihtkohta siirdama, liigutama, panema",set()
LIIGUTAMA,küünitama.v.01,"{""Synset('andma.v.02')"", ""Synset('andma.v.01')"", ""Synset('sirutama.v.02')""}","välja sirutama, et midagi võtta, haarata, ulatada, anda, vaadata vms.; selliselt võtma, haarama vms.",set()
LIIGUTAMA,kallutama.v.03,"{""Synset('viima.v.01')""}","esialgsest (normaal)asendist kaldu, kaldasendisse viima (EKSS)",set()
LIIGUTAMA,tooma.v.01,"{""Synset('kandma.v.01')"", ""Synset('viima.v.01')""}","midagi v. kedagi kusagilt kaugemalt kellelegi v. kuhugi lähemale toimetama (kandes, vedades v. endaga kaasa võttes); ant. viima (EKSS)",set()
LIIGUTAMA,nõksutama.v.01,"{""Synset('tõmbama.v.02')"", ""Synset('kõigutama.v.01')"", ""Synset('panema.v.01')""}","nõksuma panema, nõksudega liigutama. lühikeste katkeliste liigutustega tõmbama v. lükkama, jõnksutama. jõnksukaupa liigutama; järskude liigutustega kõigutama.",set()
LIIGUTAMA,hargitama.v.01,"{""Synset('ajama.v.01')""}","harki, laiali ajama; harkisjalu seisma (EKSS)",set()
LIIGUTAMA,edastama.v.03,"{""Synset('ajama.v.01')""}","saatma ühest kohast, vastuvõtuks mujal",set()
LIIGUTAMA,väänama.v.03,"{""Synset('panema.v.01')""}","jõudu kasutades midagi oma kohalt kangutama, kedagi asendit v. kuju muutma panema (EKSS)",set()
LIIGUTAMA,külvama.v.01,"{""Synset('viskama.v.04')"", ""Synset('panema.v.01')""}",külvist mullapinnale (v. mulda) laiali levitama,set()
LIIGUTAMA,pöörama.v.03,"{""Synset('ajama.v.01')"", ""Synset('keerama.v.02')"", ""Synset('keerama.v.01')"", ""Synset('viima.v.01')""}","midagi teistpidi, teisele küljele keerama, midagi niiviisi mingisse olukorda viima v. ajama",set()
LIIGUTAMA,tuhistama.v.01,"{""Synset('panema.v.01')""}","tuhinat tekitama, seda tekitades midagi liikuma panema (EKSS)",set()
LIIGUTAMA,tammuma.v.02,"{""Synset('kandma.v.01')""}","paigal seistes keharaskust kord ühele, kord teisele jalale kandma (EKSS)",set()
LIIGUTAMA,ringitama.v.01,"{""Synset('panema.v.01')""}","ringlema panema, ringlevaid liigutusi tegema (EKSS)",set()
LIIGUTAMA,valama.v.01,"{""Synset('kallutama.v.03')""}",nõust vm. mahutist seda kallutades vedelikku vm. ainet välja voolata laskma,set()
LIIGUTAMA,keerama.v.01,"{""Synset('nihutama.v.01')"", ""Synset('panema.v.01')""}",midagi keskpunkti v. telje ümber liikuma panema v. selles suunas nihutama; teisele küljele pöörama,set()
LIIGUTAMA,ära ajama.v.02,"{""Synset('viskama.v.04')"", ""Synset('ajama.v.01')"", ""Synset('paiskama.v.03')""}","ära v. eemale minema sundima, minema kihutama; ära lükkama v. loopima jne. kusagilt ära ajama. välja minema v. lahkuma sundima. kusagilt välja v. ära ajama. energilise tegevusega kuskilt välja ajama, välja paiskama vms.",set()
LIIGUTAMA,tõmbama.v.02,"{""Synset('panema.v.01')""}","(käega v. kätega) enda poole, endale lähemale v. mingis suunas liikuma panema v. liikumas hoidma",set()
LIIGUTAMA,kiigutama.v.01,"{""Synset('panema.v.01')""}","kiikuma panema, rütmiliselt edasi--tagasi v. üles-alla liigutama",set()
LIIGUTAMA,nihutama.v.01,"{""Synset('panema.v.01')""}","nihkuma panema, aeglaselt, vähehaaval kuhugi liigutama (EKSS)",set()
LIIGUTAMA,räsima.v.01,"{""Synset('sasima.v.01')""}","raputama, sasima, rebima (ja viga tegema); tallates, muljudes vm. viisil rikkuma",set()
LIIGUTAMA,kõigutama.v.01,"{""Synset('panema.v.01')""}","ühtlaselt edasi-tagasi (v. üles-alla) liigutama; millegagi selliseid liigutusi tegema, kõikuma panema",set()
LIIGUTAMA,hüpitama.v.01,"{""Synset('viskama.v.04')""}",korduvalt üles viskama,set()
LIIGUTAMA,sirutama.v.02,"{""Synset('ajama.v.01')""}","keha v. kehaosa kõverdunud v. kõverdatud asendist sirgeks ajama (ka pingetest, kangestusest vabastamiseks)",set()
LIIGUTUS,žest.n.02,"{""Synset('käeliigutus.n.01')""}","tundeid, märguannet vms. väljendav tahtlikult rõhutatud keha-, eriti käeliigutus",set()
LIIGUTUS,võnge.n.01,"{""Synset('nõksak.n.01')""}","mehaaniline liigutus edasi-tagasi v. üles-alla; (kerge) tõuge, nõksatus v. vetrumine (EKSS)",set()
LIIKUMA,kõõluma.v.01,"{""Synset('kiikuma.v.01')""}","millegi najale nõjatudes v. millestki kinni hoides end kõlgutama, kiigutama, edasi-tagasi liigutama, kallutama, rippuma vms.",set()
LIIKUMA,hõljuma.v.02,"{""Synset('kiikuma.v.01')"", ""Synset('õõtsuma.v.01')""}","kergelt hällima, kiikuma, õõtsuma, kõikuma",set()
LIIKUMA,tantsima.v.01,"{""Synset('keerutama.v.02')""}",üksinda v. koos partneriga hrl. muusika rütmis teat. reeglite järgi liikuma; tantsuga tegelema; tantsu esitama (EKSS),set()
LIIKUMA,ringlema.v.01,"{""Synset('pöörlema.v.01')"", ""Synset('tiirutama.v.01')""}","ringe tegema, ringi liikuma; tiirlema v. pöörlema",set()
LIIKUMA,supsama.v.01,"{""Synset('vajuma.v.04')""}","järsu, kiire liigutusega midagi tegema, kuhugi midagi pistma, kuhugi vajuma, kiiresti kuskilt läbi minema (EKSS)",set()
LIIKUMA,nõtkuma.v.01,"{""Synset('vajuma.v.04')""}",korduvalt nõtku vajuma,set()
LIIKUMA,põruma.v.02,"{""Synset('võnkuma.v.01')""}","(löögist, tõukest v. tugevast helist) vappuma v. värisema (ja tumedat v. tärisevat heli andma); rappumise v. tõugete tõttu liikuma v. asendit muutma",set()
LIIKUMA,pöörduma.v.01,"{""Synset('pöörduma.v.03')"", ""Synset('keerama.v.04')""}","end (ümber) pöörama, end käänama, end keerama",set()
LIIKUMA,rappuma.v.01,"{""Synset('võnkuma.v.01')""}","põrutamisest, raputamisest vm. mehaanilisest mõjust tingituna üles-alla, edasi-tagasi v. kahele poole tugevasti võnkuma",set()
LIIKUMA,pendeldama.v.01,"{""Synset('võnkuma.v.01')""}","hrl. rippudes edasi-tagasi liikuma, pendlitaoliselt võnkuma (EKSS)",set()
LIIKUMA,tiirutama.v.01,"{""Synset('kihama.v.01')"", ""Synset('kihama.v.03')""}","siia-sinna sagima, keerde v. tiire tehes liikuma",set()
LIIKUMINE,migratsioon.n.01,"{""Synset('ränne.n.03')""}","rahvastiku ränne, ümberasumine omal maal v. ühelt maalt teisele",set()
LIIKUMINE,emissioon.n.01,"{""Synset('suundumine.n.01')""}",osakeste siirdumine vaakumisse v gaasi,set()
LIIKUMINE,õhuvool.n.01,"{""Synset('vool.n.01')"", ""Synset('voolamine.n.04')"", ""Synset('voog.n.01')""}",õhu liikumine,set()
LIIKUMINE,liiklus.n.02,"{""Synset('voog.n.01')""}",sõnumite ja andmete liikumine sidevõrgus,set()
LIIKUMINE,talurahvaliikumine.n.01,"{""Synset('rahvaliikumine.n.01')""}",talurahva võitlus maaisandate ja valitsuse vastu (EKSS),set()
LIIKUMINE,ristlemine.n.01,"{""Synset('minek.n.01')""}",erinevates suundades liikuvate kolonnide või viirgude üksteisest läbiminek,set()
LIIKUMINE,tuisk.n.02,"{""Synset('paiskumine.n.02')""}",millegi hoogne rohkearvuline lend v. (laiali)paiskumine (EKSS),set()
LIIKUMINE,laskumine.n.01,"{""Synset('tulek.n.01')""}","allapoole, madalamale liikumine",set()
LIIKUMINE,kõnd.n.01,"{""Synset('liikumine.n.06')"", ""Synset('kulgemine.n.01')""}","kõndides kulgemine, ka selle erilaad",set()
LIIKUMINE,laine.n.03,"{""Synset('levik.n.01')""}","miski perioodilise, hootise ilmumise, levimise, liikumise v. tegutsemise poolest veelainet meenutav",set()
LIITMA,inkorporeerima.v.01,"{""Synset('lülitama.v.03')""}","endaga liitma, oma koosseisu lülitama (EKSS)",set()
LIITMA,adsorbeerima.v.01,"{""Synset('ühendama.v.01')"", ""Synset('sõlmima.v.01')""}",adsorptsiooni teel siduma (EKSS),set()
LIITMA,sulandama.v.01,"{""Synset('sulatama.v.03')""}","kokku, ühte sulatama (EKSS)",set()
LIITMA,ühendama.v.01,"{""Synset('sõlmima.v.01')""}","nööri, paela, keti vms. abil v. muidu sõlmides kinnitama v. ühendama, köitma (EKSS)",set()
LIITMA,abielu sõlmima.v.01,"{""Synset('sõlmima.v.01')""}",abielu kindlaks määrama (EKSS); abiellumistseremooniat läbi viima,set()
LILL,haisev kurereha.n.01,"{""Synset('pelargoon.n.01')""}","(Geranium robertianum) üks 13st Eestis looduslikult kasvavast kurereha liigist, mille esindajatel on kolmetised lehed ja mis eelistab lubjarohket kuiva kasvukohta",set()
LILL,päevalill.n.01,"{""Synset('roos.n.01')""}",,set()
LILL,hiidiisop.n.01,"{""Synset('iisop.n.01')""}","(Agastache) umbes 30 liigiga huulõieliste sugukonda kuuluv aromaatsete puhmaste perekond, mille liikmetel on hallikasrohelised lehed ja lõvilõuaõisi meenutavad õied",set()
LILL,meelistäht.n.01,"{""Synset('sibullill.n.01')""}","(Eucharis) 17 liigiga liilialiste sugukonda kuuluv sibullillede perekond, mis pärineb Kesk-Ameerikast",set()
LILL,sahinlill.n.01,"{""Synset('lõikelill.n.01')""}","(Catananche) 5 liigiga korvõieliste sugukonda kuuluv taimeperekond, mis on looduslikult levinud Vahemeremaades ja mille liikmed sobivad hästi lõikelilledeks",set()
LILL,merikann.n.01,"{""Synset('kannike.n.01')""}","(Armeria) tinajuureliste sugukonda kuuluv püsikute perekond, mille liikmete kitsad hallikasrohelised lehed moodustavad tiheda mätta ja kerajad õisikud on roosad, lillad või valged",set()
LILL,mesiohakas.n.01,"{""Synset('lõikelill.n.01')""}","(Echinops) umbes 120 liigiga korvõieliste sugukonda kuuluv ohakalaadsete rohttaimede perekond, mille liikmetel on valged, hallid või sinised ümarad korvõisikud, mis sobivad lõikelilleks ja kuivatamiseks",set()
LILL,tokkroos.n.01,"{""Synset('roos.n.01')""}",kõrgete püstiste varte ja suurte lühiraoliste õitega aiailutaim (Alcea) (EKSS),set()
LILL,miina.n.01,"{""Synset('lehtertapp.n.01')""}","(Mina lobata) lehtertappude perekonda kuuluv tumeroheliste lehtedega rikkalikult õitsev taim, mida Eestis kasvatatakse üheaastase ronitaimena",set()
LILL,piiskenelas.n.01,"{""Synset('enelas.n.01')""}","(Gillenia) kaheliigiline roosõieliste sugukonda kuuluv risoomtaimede perekond, mille liikmetel on valged või roosad õied ja kolmehõlmalised pronksjasrohelised lehed",set()
LILL,lumeroos.n.01,"{""Synset('roos.n.01')""}","(Helleborus) umbes 20 liigiga madalate mitmeaastaste mürgiste rohttaimede perekond, mis kuulub tulikaliste sugukonda ja mille õite värvus varieerub rohekas-valgest kuni purpurseni",set()
LILL,võilill.n.01,"{""Synset('kannike.n.01')""}","(Taraxacum officinale) keelõitest koosnevate kuldkollaste korvõisikute ja valge piimmahlaga mitmeaastane rohttaim, mida kasutatakse ka toiduks ning ravimitööstuses",set()
LILL,daalia.n.01,"{""Synset('püsilill.n.01')""}",juurmugulatega korvõieline püsilill  (Dahlia),set()
LILL,läänemagun.n.01,"{""Synset('magun.n.01')""}","(Eschoscholzia) umbes 10 liigiga magunaliste sugukonda kuuluv rohttaimede perekond, mida looduslikult leidub Põhja-Ameerikas ja mille liikmetel on enamasti kollased, oranžid või roosad õied",set()
LILL,kuldkann.n.01,"{""Synset('kannike.n.01')""}","(Helianthemum) umbes 110 liigiga Põhjapoolkera avamaastikel kasvavate taimede perekond, mille liikmetel on kausjad, viietised ja erksate värvidega õied",set()
LILL,keskpäevalill.n.01,"{""Synset('päevalill.n.01')""}","(Dorotheanthus, syn.Mesembryanthemum) kivileheliste sugukonda kuuluv rohttaim, mille paljudes värvitoonides tugevaläikelised õied avanevad keskpäeval üksned päikesepaistel",set()
LILL,kalevikepp.n.01,"{""Synset('püsilill.n.01')""}","(Gaura lindheimeri) graatsiline puhmjas püsilill, mille harunenud vartel puhkeb tähekujulisi õisi suvest sügiseni",set()
LILL,kilpkonnalill.n.01,"{""Synset('püsilill.n.01')""}","(Chelone) 6 liigiga mailaseliste sugukonda kuuluv taimeperekond, mille liikmed on dekoratiivsed püsililled, mis looduslikult kasvavad Põhja-Ameerikas",set()
